brand,gender,itemName,itemName_fully_derived,model_id,product_domain,collection,model_family,subCategory,fabric,construction,seamless,scrunchFlag,invisibleFlag,neckline,strap_configuration,support_level,rise,length,variant,usage_category,usage_subtype,categoryName,subCategoryParent,ageGroup,sizeType,fitStyle,activityTags,price,salePrice,description,featured,images,thumbnails_json,external_item_id,campaign_or_series,altText,ariaText,videoAltText,videos,images2,CropAllowed,db_itemId,assignment_source,_images_helper_normalize
Adidas,Boys,Marvel Spider-Man: Tracksuit,Yes,adidas_boys_marvel spider-man_tracksuit_3-stripes,Apparel,Marvel Spider-Man,,Tracksuit,,,,,,,,,,,3-Stripes,,,Set,Set,Kids,Standard,Regular Fit,"casual,playtime,fanwear",79.99,64.99,"Swing into action with the ultimate superhero outfit from adidas x Marvel. This 5-piece set includes a bold Spider-Man t-shirt, matching trainers with flashing lights, and the full Spider-Man tracksuit. With slick Spidey graphics, smooth fabric, and matching top and pants, the tracksuit is perfect for play, sports, or showing off your superhero style all day long.",,images/brands/adidas/kids/boys/marvel-spider_man/tracksuit/,images/brands/adidas/kids/boys/marvel-spider_man/tracksuit/01.png;images/brands/adidas/kids/boys/marvel-spider_man/tracksuit/02.png;images/brands/adidas/kids/boys/marvel-spider_man/tracksuit/03.png;images/brands/adidas/kids/boys/marvel-spider_man/tracksuit/04.png,adidas-marvel-spiderman-tracksuit-3-stripes,adidas_marvel_spiderman,"A young boy and girl wearing matching Adidas x Marvel Spider-Man black tracksuits with bold red, white, and Spider-Man graphics. The outfits feature Adidas 3-Stripes down the sleeves and legs, Marvel logos, and a large Spider-Man graphic on the back of the jackets.","Adidas x Marvel Spider-Man tracksuit set modeled by a young boy and girl. Both wear matching black jackets and pants with Adidas 3-Stripes, red Marvel branding, and an eye-catching Spider-Man illustration on the back. The set blends sporty Tiro style with superhero attitude, designed for active kids who love bold looks.",,,,Yes,1,custom,
Adidas,Boys,Marvel Spider-Man: T-Shirt,Yes,adidas_boys_marvel spider-man_t_shirt,Apparel,Marvel Spider-Man,,T_Shirt,,,,,,,,,,,NULL,,,Set,,Kids,Standard,Regular Fit,"casual,playtime,fanwear",34.99,29.99,"The adidas x Marvel Spider-Man t-shirt is bursting with color and comic book heroes. With Spidey, Iron Man, Hulk, and more all in one action-packed design, it’s perfect for kids who want to wear their favorite heroes with pride—on the playground or anywhere adventure calls.",,images/brands/adidas/kids/boys/marvel-spider_man/t-shirt/,images/brands/adidas/kids/boys/marvel-spider_man/t-shirt/01.png;images/brands/adidas/kids/boys/marvel-spider_man/t-shirt/02.png,adidas-marvel-spiderman-t-shirt,adidas_marvel_spiderman,,,,,,Yes,2,custom,
Adidas,Boys,Marvel Spider-Man: Light-Up Trainers,Yes,adidas_boys_marvel spider-man_kid_shoes_spider-man_light-up,Footwear,Marvel Spider-Man,Spider-Man,Kid_Shoes,,,,,,,,,,,Light-Up,,,Set,,Kids,Standard,Regular Fit,"casual,playtime,fanwear",59.99,49.99,"Complete your superhero look with light-up Spider-Man trainers made for fun on the move. Featuring bold web graphics and bright flashing soles, these comfy kicks are built for playtime, running, and showing off your Spidey style with every step.",,images/brands/adidas/kids/boys/marvel-spider_man/trainers-light_up/,images/brands/adidas/kids/boys/marvel-spider_man/trainers-light_up/01.png,adidas-marvel-spiderman-light-up-trainers,adidas_marvel_spiderman,,,,,,No,3,custom,
Adidas,Boys,Marvel Spider-Man: Backpack,Yes,adidas_boys_marvel spider-man_backpack,Non-Wearables,Marvel Spider-Man,,Backpack,,,,,,,,,,,NULL,,,Set,,Kids,Standard,Regular Fit,"school,playtime,fanwear,collectible",46,23,"Complete your superhero set with this bold adidas x Marvel Spider-Man backpack. Featuring a swinging Spidey patch and oversized adidas logo, it’s the perfect carryall for school, sport, or daily missions. Sturdy straps, zip compartments, and superhero attitude—this backpack delivers both style and utility for kids ready to save the day.",,images/brands/adidas/kids/boys/marvel-spider_man/backpack/,images/brands/adidas/kids/boys/marvel-spider_man/backpack/01.png;images/brands/adidas/kids/boys/marvel-spider_man/backpack/02.png;images/brands/adidas/kids/boys/marvel-spider_man/backpack/03.png;images/brands/adidas/kids/boys/marvel-spider_man/backpack/04.png,adidas-marvel-spiderman-backpack,adidas_marvel_spiderman,Adidas Marvel Spider-Man kids backpack in black with a red swinging Spidey patch and white adidas logo on the front pocket.,Marvel Spider-Man backpack for kids featuring a bold swinging Spidey patch and oversized adidas logo on a black zippered backpack.,,,,No,4,custom,
Adidas,Male,Campus 00s,Yes,adidas_male_originals_sneakers_campus,Footwear,Originals,Campus,Sneakers,,,,,,,,,,,NULL,,,Shoes,Shoes,Adults,Standard,Regular Fit,"casual,lifestyle,streetwear,skateboarding",170,64,"Add a skate-inspired shoe to your rotation with these Campus 00s from adidas Originals. In a Dark Grey suede upper with White 3-Stripes, they blend oversized ’80s OG styling with modern comfort: chunky laces, padded collar, cushioning midsole and a grippy gum rubber outsole.",,images/brands/adidas/men/campus_sneakers/,images/brands/adidas/men/campus_sneakers/01.png;images/brands/adidas/men/campus_sneakers/02.png;images/brands/adidas/men/campus_sneakers/03.png;images/brands/adidas/men/campus_sneakers/04.png;images/brands/adidas/men/campus_sneakers/05.png;images/brands/adidas/men/campus_sneakers/06.png,adidas-originals-campus-00s,adidas_originals,"Six images of the adidas Originals Campus 00s in Dark Grey: side profile, three-quarter front, rear heel tab, suede/stripe detail, top-down lace view, and outsole angle.","Six images of the adidas Originals Campus 00s in Dark Grey: side profile, three-quarter front, rear heel tab, suede/stripe detail, top-down lace view, and outsole angle.",,,,No,5,custom,
Adidas,Male,Poly Linear Full-Zip Hoodie and Pants,No,adidas_male_tracksuit_poly linear,Apparel,NULL,,Tracksuit,,,,,,,,,,,Poly Linear,,,Set,Set,Adults,Standard,Regular Fit,"athleisure,training",70,59.5,"Step up your street style in this Adidas Poly Linear Tracksuit, combining a sleek full-zip hoodie with tapered pants for all-day comfort and movement. The shiny poly knit fabric offers a smooth, athletic finish, while bold linear adidas branding down the leg and sleeve makes a clean, confident statement whether you're warming up, working out, or chilling out.",,images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/,images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/01.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/02.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/03.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/04.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/05.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/06.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/07.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/08.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/09.png,adidas-poly-linear-full-zip-hoodie-pants,core,"Man wearing full Adidas Poly Linear tracksuit in blue, seated casually with hoodie and joggers featuring oversized logo.","Model in blue Adidas tracksuit with full-zip hoodie and joggers, showing bold branding on sleeves and legs, sitting in relaxed pose.",,,,Yes,6,custom,
Adidas,Male,Poly Linear Full-Zip Hoodie,No,adidas_male_hoodie_poly linear,Apparel,NULL,,Hoodie,,,,,,,,,,,Poly Linear,,,Tops,Tops,,,,,,,,,,,,,,,,,,,61,,
Adidas,Male,Poly Linear Track Pants,Yes,adidas_male_track_pants_poly linear,Apparel,NULL,,Track_Pants,,,,,,,,,,,Poly Linear,,,Pants,Pants,,,,,,,,,,,,,,,,,,,62,,
Adidas,Male,Running Tee,Yes,adidas_male_t_shirt_3-stripes,Apparel,NULL,,T_Shirt,,,,,,,,,,,3-Stripes,,,Tops,Tops,Adults,Standard,Regular Fit,"running,training",34.99,27.99,"Stay cool, dry, and in motion with the Adidas 3-Stripes Running Tee. Lightweight and breathable with signature stripes down the shoulders, this performance tee is made for speed. Sweat-wicking AEROREADY fabric helps keep you focused from start to finish.",,images/brands/adidas/men/3-stripes/running_tee/,images/brands/adidas/men/3-stripes/running_tee/01.png,adidas-running-tee-3-stripes,adidas_3_stripes,Man running in white Adidas 3-Stripes Running Tee with black shoulder stripes and light grey shorts.,"Male athlete in motion wearing Adidas 3-Stripes white running tee, emphasizing lightweight fit and moisture-wicking design.",,,,Yes,7,custom,
Adidas,Female,Flared Leggings,Yes,adidas_female_leggings_3-stripes,Apparel,NULL,,Leggings,,,,,,,,,,,3-Stripes,,,Pants,Pants,Adults,Standard,Slim Fit,"yoga,studio,athleisure",69.99,55.99,"Throwback meets street chic in these Adidas 3-Stripes flared leggings. The sleek silhouette hugs your shape while the retro-inspired flare adds instant attitude. Made for movement but styled for the spotlight, they deliver that iconic original look and energy from every angle.",,images/brands/adidas/women/3-stripes/flared_leggings/,images/brands/adidas/women/3-stripes/flared_leggings/01.png;images/brands/adidas/women/3-stripes/flared_leggings/02.png,adidas-flared-leggings-3-stripes,adidas_3_stripes,"Woman posing in black Adidas flared leggings with white 3-Stripes down the sides, paired with matching crop top.","Model styled in retro-inspired Adidas flared leggings and bandeau crop top, showcasing sporty yet fashion-forward silhouette.",,,,Yes,8,course,
Adidas,Female,Tube Top,Yes,adidas_female_bralette_3-stripes,Apparel,NULL,,Bralette,,,,,,,,,,,3-Stripes,,,Tops,Tops,Adults,Standard,Compression,"athleisure,studio",55,45,"Model wears a cropped black Adidas tube top with the 3-Stripes detail down the side, styled with matching shorts, knee-high socks, and sneakers. The top is tight-fitting and strapless.",,images/brands/adidas/women/3-stripes/tube_top/,images/brands/adidas/women/3-stripes/tube_top/01.png;images/brands/adidas/women/3-stripes/tube_top/02.png;images/brands/adidas/women/3-stripes/tube_top/03.png;images/brands/adidas/women/3-stripes/tube_top/04.png,adidas-tube-top-3-stripes,adidas_3_stripes,"Front and full-body views of a woman wearing a black Adidas 3-Stripes tube top and booty shorts, styled with a black jacket and knee-high Adidas socks.","Model wears a cropped black Adidas tube top with the 3-Stripes detail down the side, styled with matching shorts, knee-high socks, and sneakers. The top is tight-fitting and strapless.",,,,Yes,9,custom,
Adidas,Female,Booty Shorts,Yes,adidas_female_shorts_3-stripes,Apparel,NULL,,Shorts,,,,,,,,,,,3-Stripes,,,Pants,Pants,Adults,Standard,Compression,"athleisure,studio",60,48,"These high-rise booty shorts from Adidas hug every curve with a shiny, stretch-satin feel and 3-Stripes styling that shouts confidence. Built for movement but made to turn heads, they’re the statement piece your summer rotation didn’t know it needed.",,images/brands/adidas/women/3-stripes/booty_shorts/,images/brands/adidas/women/3-stripes/booty_shorts/01.png;images/brands/adidas/women/3-stripes/booty_shorts/02.png;images/brands/adidas/women/3-stripes/booty_shorts/03.png;images/brands/adidas/women/3-stripes/booty_shorts/04.png;images/brands/adidas/women/3-stripes/booty_shorts/05.png,adidas-booty-shorts-3-stripes,adidas_3_stripes,Close-up and full-body views of a woman wearing black Adidas 3-Stripes booty shorts with a high waist and fitted finish.,"High-waisted black Adidas shorts with signature 3-Stripes and a stretch-satin finish, seen from front and back. Tight-fitting and styled for movement and attitude.",,,,Yes,10,custom,
Adidas,Female,Hyperglam Long Sleeve Crop Top and Leggings,No,adidas_female_hyperglam_set_3-stripes,Apparel,Hyperglam,,Set,,,,,,,,,,,3-Stripes,,,Set,Set,Adults,Standard,Compression,"athleisure,studio",90,76.5,"Strike a balance between fierce and feminine in the Adidas Hyperglam set. The long sleeve crop top and high-rise leggings move with you—from studio to street—thanks to sleek performance fabric, sculpting seams, and a bold Hyperglam hue. Signature 3-Stripes details flash along the arms and hips, giving this look an edge that’s equal parts athletic and stylish.",,images/brands/adidas/women/3-stripes/hyperglam_long_sleeve_crop_top_and_full-length_leggings/,images/brands/adidas/women/3-stripes/hyperglam_long_sleeve_crop_top_and_full-length_leggings/01.png;images/brands/adidas/women/3-stripes/hyperglam_long_sleeve_crop_top_and_full-length_leggings/02.png;images/brands/adidas/women/3-stripes/hyperglam_long_sleeve_crop_top_and_full-length_leggings/03.png;images/brands/adidas/women/3-stripes/hyperglam_long_sleeve_crop_top_and_full-length_leggings/04.png;images/brands/adidas/women/3-stripes/hyperglam_long_sleeve_crop_top_and_full-length_leggings/05.png,adidas-hyperglam-crop-top-leggings-set,adidas_hyperglam,Woman wearing mauve Adidas Hyperglam crop top and matching full-length leggings with white 3-Stripes.,"Model striking athletic poses in mauve Adidas Hyperglam crop top and leggings, designed for performance and style.",,,,Yes,11,custom,
Adidas,Female,Hyperglam Long Sleeve Crop Top,Yes,adidas_female_hyperglam_crop_top_3-stripes,Apparel,Hyperglam,,Crop_Top,,,,,,,,,,,3-Stripes,,,Tops,Tops,,,,,,,,,,,,,,,,,,,60,,
Adidas,Female,Hyperglam Leggings,Yes,adidas_female_hyperglam_leggings_3-stripes,Apparel,Hyperglam,,Leggings,,,,,,,,,,,3-Stripes,,,Pants,Pants,,,,,,,,,,,,,,,,,,,59,,
Adidas,Female,Powerreact Training Medium Support Sports Bra,No,adidas_female_powerreact_sports_bra_3-stripes,Apparel,Powerreact,,Sports_Bra,,,,,,,,,,,3-Stripes,Training,,Tops,Tops,Adults,Standard,Compression,"training,gym",55,46.75,Own your strength in this iconic black-on-black Adidas training set. The Powerreact sports bra delivers medium support with a racerback cut and mesh back panel for breathability…,,images/brands/adidas/women/3-stripes/powerreact_training-medium_support-sports_bra/,images/brands/adidas/women/3-stripes/powerreact_training-medium_support-sports_bra/01.png;images/brands/adidas/women/3-stripes/powerreact_training-medium_support-sports_bra/02.png;images/brands/adidas/women/3-stripes/powerreact_training-medium_support-sports_bra/03.png;images/brands/adidas/women/3-stripes/powerreact_training-medium_support-sports_bra/04.png,adidas-powerreact-training-sports-bra,adidas_powerreact,Woman wearing the Adidas Powerreact black training bra with 3-Stripes detailing and a racerback cut.,"Adidas Powerreact medium support black sports bra, featuring white 3-Stripes on the sides and breathable mesh panel on the back.",,,,Yes,12,custom,
Adidas,Female,Powerreact Training Leggings,Yes,adidas_female_powerreact_leggings_3-stripes,Apparel,Powerreact,,Leggings,,,,,,,,,,,3-Stripes,Training,,Pants,Pants,Adults,Standard,Compression,"training,gym",80,68,"...while the matching 3-Stripes tights hug your body with a high-rise waist and full-length coverage. Whether you're at the gym or in the zone at home, the classic 3-Stripes branding gives you timeless athletic style with performance to match. Wear them together and feel powerful, streamlined, and ready to move.",,images/brands/adidas/women/3-stripes/tights/,images/brands/adidas/women/3-stripes/tights/01.png;images/brands/adidas/women/3-stripes/tights/02.png,adidas-powerreact-training-tights,adidas_powerreact,Woman wearing black Adidas tights with high-rise waist and classic white 3-Stripes down the sides.,"Full-length black Adidas tights with a sleek fit and 3-Stripes side branding, paired with a matching training bra.",,,,Yes,13,custom,
Adidas,Unisex,UEFA Euro16 Top Glider Ball,Yes,adidas_unisex_uefa euro 16_ball_top glider,Non-Wearables,UEFA Euro 16,,Ball,,,,,,,,,,,Top Glider,,,Equipment,Equipment,All Ages,Standard,,soccer,45,39,"Celebrate the legacy of European football with the UEFA Euro16 Top Glider Ball. Designed for training and recreational play, this ball mirrors the iconic panel design of the official Euro 2016 match ball. The machine-stitched construction ensures durability and a soft touch, while the butyl bladder maintains consistent shape and air retention—game after game. Whether you're practicing free kicks or organizing a kickabout with friends, this ball brings a piece of tournament history to your foot.",,images/brands/adidas/UEFA_Euro16/Top_Glider_Ball/,images/brands/adidas/UEFA_Euro16/Top_Glider_Ball/01.png,adidas-uefa-euro16-top-glider-ball,adidas_uefa_euro16,UEFA Euro16 Top Glider Ball featuring the official Euro 2016 design with blue and red graphic panels on a white surface.,"UEFA Euro16 Top Glider Ball in white with Euro 2016 graphic styling, designed for training and recreational football play.",,,,No,14,custom,
Asics,Unisex,Gel Lethal Tigreor 8 IT,Yes,asics_unisex_soccer_boots,,,,Soccer_Boots,,,,,,,,,,,,,,Shoes,Shoes,Adults,Standard,Regular Fit,"rugby,soccer",159.99,129.99,"Take control of the pitch with the ASICS Gel Lethal Tigreor 8 IT. Engineered for speed and precision, this elite-level football boot is built with lightweight synthetic leather for a snug fit and reduced weight. The integrated HG10mm heel gradient shifts your body forward for faster propulsion, while the rearfoot GEL™ cushioning absorbs impact and protects your joints. Whether you're slicing through defenders or sprinting down the wing, the Tigreor 8 IT gives you the edge to play at your sharpest.",,images/brands/asics/men/soccer_boots/gel_lethal_tigreor_8_IT/,images/brands/asics/men/soccer_boots/gel_lethal_tigreor_8_IT/01.png,asics-gel-lethal-tigreor-8-it,core,ASICS Gel Lethal Tigreor 8 IT football boots in black and gold with a streamlined design and studded sole for firm-ground traction.,"ASICS Gel Lethal Tigreor 8 IT football boots in black with gold accents, featuring GEL cushioning and lightweight construction for speed and impact protection on the field.",,,,No,15,course,
Asics,Unisex,Gel Kayano 26,Yes,asics_unisex_running_shoes,,,,Running_Shoes,,,,,,,,,,,,,,Shoes,Shoes,Adults,Standard,Regular Fit,running,179.99,152.99,"Run longer and land softer with the ASICS Gel Kayano 26. This stability shoe blends plush comfort with advanced support so you can push through every mile. The signature GEL™ technology in the forefoot and rearfoot cushions each stride, while the DuoMax™ support system helps guide your foot with every transition. With a breathable mesh upper and dynamic fit, the Kayano 26 gives you the confidence to keep going—whether it’s your first 5K or your next marathon.",,images/brands/asics/men/running_shoes/kayano_26/,images/brands/asics/men/running_shoes/kayano_26/01.png,asics-gel-kayano-26,asics_kayano,ASICS Gel Kayano 26 running shoes in white and blue with visible GEL cushioning and a breathable mesh upper.,"ASICS Gel Kayano 26 stability running shoes, featuring GEL technology, DuoMax support, and a breathable upper for overpronators seeking cushioned long-distance comfort.",,,,No,16,course,
ASOS,Female,4505 Curve Zip-Front Sports Bra (High Support),Yes,asos_female_sports_bra,,,,Sports_Bra,,,,,,,,,,,,,,Tops,Tops,Adults,Plus Size,Regular Fit,"gym,training",39.99,29.99,"This zip-front sports bra from the 4505 Curve line offers high support for plus-size workouts, with wide adjustable cross-back straps, inner hook fastening, and a secure underband. The sleek, functional design is ideal for movement and all-day comfort.",,images/brands/asos/women/4504-curve/sports_bra/high_support/zip-front-adjustable-straps/,images/brands/asos/women/4504-curve/sports_bra/high_support/zip-front-adjustable-straps/01.png;images/brands/asos/women/4504-curve/sports_bra/high_support/zip-front-adjustable-straps/02.png;images/brands/asos/women/4504-curve/sports_bra/high_support/zip-front-adjustable-straps/03.png;images/brands/asos/women/4504-curve/sports_bra/high_support/zip-front-adjustable-straps/04.png,asos-4505-curve-zip-front-sports-bra-high-support,asos_4505_curve,Plus-size woman modeling a black high-support zip-front sports bra with matching leggings; shows front and back views with cross-back straps and hook closure.,"Image of a plus-size model wearing a black zip-front sports bra from the 4505 Curve line. The bra features wide adjustable cross-back straps, front zipper with inner hooks, and a thick supportive underband—designed for high-impact workouts and plus-size comfort.",,,,Yes,17,course,
AYBL,Female,Adapt Seamless Shorts,Yes,aybl_female_shorts,,,,Shorts,,,,,,,,,,,,,,Pants,Pants,Adults,Standard,Compression,"gym,studio",60,51,"This vibrant matching set from AYBL’s Adapt Seamless collection is made to sculpt, support, and turn heads. The figure-contouring shorts hug your curves with precision thanks to their body-mapped compression zones, high-rise waistband, and sculpt-knit shaping around the glutes and thighs. The lightweight seamless fabric moves effortlessly with your body, offering a second-skin feel.",,images/brands/aybl/women/adapt_seamless/shorts/,images/brands/aybl/women/adapt_seamless/shorts/01.png;images/brands/aybl/women/adapt_seamless/shorts/02.png;images/brands/aybl/women/adapt_seamless/shorts/03.png;images/brands/aybl/women/adapt_seamless/shorts/04.png;images/brands/aybl/women/adapt_seamless/shorts/05.png;images/brands/aybl/women/adapt_seamless/shorts/06.png,aybl-adapt-seamless-shorts,aybl_adapt_seamless,"Close-up views of AYBL Adapt Seamless Shorts in orange, showing sculpted compression zones and contour-knit detailing across the glutes and thighs.","AYBL Adapt Seamless Shorts in orange. Designed with high-rise ribbing and body-hugging sculpt zones that contour the glutes and thighs for a flattering, supportive fit.",,,,Yes,18,custom,
AYBL,Female,Adapt Seamless Sports Bra,Yes,aybl_female_sports_bra,,,,Sports_Bra,,,,,,,,,,,,,,Tops,Tops,Adults,Standard,Regular Fit,"gym,studio",55,46.75,"Paired with the cross-strap sports bra featuring adjustable straps and a wide underband, this duo is perfect for gym sessions or summer streetwear alike.",,images/brands/aybl/women/adapt_seamless/sports_bra/,images/brands/aybl/women/adapt_seamless/sports_bra/01.png;images/brands/aybl/women/adapt_seamless/sports_bra/02.png;images/brands/aybl/women/adapt_seamless/sports_bra/03.png;images/brands/aybl/women/adapt_seamless/sports_bra/04.png;images/brands/aybl/women/adapt_seamless/sports_bra/05.png;images/brands/aybl/women/adapt_seamless/sports_bra/06.png,aybl-adapt-seamless-sports-bra,aybl_adapt_seamless,"AYBL Adapt Seamless Sports Bra in orange with a scoop neckline and cross-back adjustable straps, worn as part of a coordinated activewear set.","AYBL Adapt Seamless Sports Bra in bright orange. Features a scoop front, cross-back adjustable straps, and ribbed underband for light support and flexibility during movement.",,,,Yes,19,custom,
Designer,Female,Kate Galliano: Bubblegum Pink Bodysuit,Yes,designer_female_kate_galliano_bodysuit_bubblegum_pink,,,Kate_Galliano,Bodysuit,,,,,,,,,,,Bubblegum_Pink,,,Set,Set,Adults,Standard,Compression,"studio,lifestyle",129,109,"This cheeky Kate Galliano bodysuit in bubblegum pink wraps you in silky stretch fabric that sculpts and smooths in all the right places. A front zip adds function and flair, while the deep racerback and contour stitching dial up the flirty vibes with a wink. Whether you're striking a pose or just reaching for your lollipop, this suit doesn’t play—it slays.",,images/brands/designer/kate_galliano/women/bodysuit/bubblegum/,images/brands/designer/kate_galliano/women/bodysuit/bubblegum/01.png;images/brands/designer/kate_galliano/women/bodysuit/bubblegum/02.png,designer-kate-galliano-bubblegum-pink-bodysuit,core,"Model in a pink sleeveless bodysuit with front zipper and racerback, styled with long hair and lollipop.","Kate Galliano bodysuit in bubblegum pink with front zip and deep racerback, modeled in playful style.",,,,Yes,20,custom,
Designer,Female,Lisa Trujillo: Kids Activewear Set,Yes,designer_female_set,,,,Set,,,,,,,,,,,,,,Set,Set,Kids,Standard,Compression,"kids,training",59.99,49.99,"Bursting with personality and designed for movement, Lisa Trujillo’s Kids Activewear Sets bring maximum fun to mini athletes. From zebra stripes to candy-pink camo, each pair of leggings is paired with a matching crop top or branded tank to keep the energy high and the style even higher. These sets don’t just look unstoppable—they are unstoppable. Made for play, dance, and nonstop action.",,images/brands/designer/lisa_trujillo/kids/activewear/,images/brands/designer/lisa_trujillo/kids/activewear/01.jpg,designer-lisa-trujillo-kids-activewear-set,core,"Group of six girls wearing colorful Lisa Trujillo activewear sets with patterned leggings and crop tops, smiling against an orange background.","Group of girls modeling Lisa Trujillo Kids Activewear Sets in bold prints and bright colors, standing together in front of orange backdrop.",,,,Yes,21,custom,
Nike,Female,Air: Futura Pink Tee,Yes,nike_female_t_shirt,,,,T_Shirt,,,,,,,,,,,,,,Tops,Tops,Teens,Standard,Regular Fit,"casual,training",29.99,24.99,"With a bold pink, big swoosh, this tee has a sporty attitude and total Nike girl vibes.",,images/brands/nike/kids/girls/air/futura/pink_and_white/,images/brands/nike/kids/girls/air/futura/pink_and_white/01.png,nike-air-futura-pink-tee,nike_air,Girl in bold pink Nike Air tee with oversized white swoosh and sporty vibe.,"Nike Air Futura Pink Tee. Bold pink with large white swoosh, a sporty attitude and total Nike girl vibes.",,,,Yes,22,custom,
Nike,Female,Swoosh: Sports Bra (Medium Support),Yes,nike_female_sports_bra,,,,Sports_Bra,,,,,,,,,,,,,,Tops,Tops,Teens,Standard,Compression,"training,gym",44.99,38.24,"This sleek black sports bra delivers medium support with a zip front and racerback design—so you can stay locked in and focused, no distractions.",,images/brands/nike/women/swoosh/sports_bra/medium-support-padded/,images/brands/nike/women/swoosh/sports_bra/medium-support-padded/01.png;images/brands/nike/women/swoosh/sports_bra/medium-support-padded/02.png;images/brands/nike/women/swoosh/sports_bra/medium-support-padded/03.png;images/brands/nike/women/swoosh/sports_bra/medium-support-padded/04.png;images/brands/nike/women/swoosh/sports_bra/medium-support-padded/05.png,nike-swoosh-sports-bra-medium-support,nike_swoosh,"Model wearing black Nike sports bra with front zip and racerback design, shown in dynamic workout poses.",Nike Swoosh Sports Bra in black. Medium support with zip front and racerback. Shown on model in athletic poses.,,,,Yes,23,course,
Nike,Female,Training: Full-Zip Top Tracksuit,Yes,nike_female_tracksuit,,,,Tracksuit,,,,,,,,,,,,,,Set,Set,Adults,Standard,Compression,"training,athleisure",130,110.5,Smooth. Sleek. Confident. This full-zip Nike tracksuit brings high-performance energy and curve-loving stretch with a cropped fit that means business—whether you're hitting reps or hitting record.,,images/brands/nike/women/training/full-zip_tracksuit/,images/brands/nike/women/training/full-zip_tracksuit/01.png;images/brands/nike/women/training/full-zip_tracksuit/02.png;images/brands/nike/women/training/full-zip_tracksuit/03.png;images/brands/nike/women/training/full-zip_tracksuit/04.png;images/brands/nike/women/training/full-zip_tracksuit/05.png;images/brands/nike/women/training/full-zip_tracksuit/06.png,nike-training-full-zip-tracksuit,nike_training,"Nike women’s charcoal grey full-zip tracksuit set with cropped jacket and stretch leggings, styled with black sports bra and headphones.","Nike women’s full-zip training tracksuit in dark grey with a cropped jacket, zip front, and high-waisted stretch leggings—styled with a black Nike sports bra.",,,,Yes,24,custom,
