external_item_id,itemName,current_is_active,current_images,proposed_chosen_image,proposed_thumbnails_json,current_chosen_image,current_thumbnails_json,current_hero_image,update_plan_status,update_notes
ryderwear_female_nkd_leggings_v_high_waisted_scrunch,,0,images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/01.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/02.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/03.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/04.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/05.webp,images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/01.webp,images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/01.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/02.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/03.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/04.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black/05.webp,,,,ready_for_hero_field_update,derived chosen_image/thumbnails_json from current images; leave hero_image/is_active/featured unchanged
ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,,0,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/01.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/02.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/03.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/04.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/05.webp,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/01.webp,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/01.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/02.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/03.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/04.webp;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar/05.webp,,,,ready_for_hero_field_update,derived chosen_image/thumbnails_json from current images; leave hero_image/is_active/featured unchanged
ryderwear_female_nkd_shorts_v_pocket_scrunch,,0,images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/01.webp;images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/02.webp;images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/03.webp;images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/04.webp;images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/05.webp,images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/01.webp,images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/01.webp;images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/02.webp;images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/03.webp;images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/04.webp;images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black/05.webp,,,,ready_for_hero_field_update,derived chosen_image/thumbnails_json from current images; leave hero_image/is_active/featured unchanged
ryderwear_female_nkd_tank_top_scrunch,,0,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/01.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/02.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/03.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/04.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/05.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/06.webp,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/01.webp,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/01.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/02.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/03.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/04.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/05.webp;images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black/06.webp,,,,ready_for_hero_field_update,derived chosen_image/thumbnails_json from current images; leave hero_image/is_active/featured unchanged
ryderwear_female_nkd_bodysuit_v_scrunch,,0,images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/01.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/02.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/03.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/04.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/05.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/06.webp,images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/01.webp,images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/01.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/02.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/03.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/04.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/05.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black/06.webp,,,,ready_for_hero_field_update,derived chosen_image/thumbnails_json from current images; leave hero_image/is_active/featured unchanged
ryderwear_female_nkd_leggings_flared_cross_over,,0,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/01.png;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/02.png;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/03.png;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/04.png;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/05.png,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/01.png,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/01.png;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/02.png;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/03.png;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/04.png;images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist/05.png,,,,ready_for_hero_field_update,derived chosen_image/thumbnails_json from current images; leave hero_image/is_active/featured unchanged
ryderwear_female_nkd_long_sleeve_half_zip,,0,images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/01.webp;images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/02.webp;images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/03.webp;images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/04.webp;images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/05.webp,images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/01.webp,images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/01.webp;images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/02.webp;images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/03.webp;images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/04.webp;images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black/05.webp,,,,ready_for_hero_field_update,derived chosen_image/thumbnails_json from current images; leave hero_image/is_active/featured unchanged
ryderwear_female_nkd_t_shirt,,0,images/brands/ryderwear/women/nkd/tops/tee/slight-cropped/chocolate/01.webp;images/brands/ryderwear/women/nkd/tops/tee/slight-cropped/chocolate/02.webp;images/brands/ryderwear/women/nkd/tops/tee/slight-cropped/chocolate/03.webp;images/brands/ryderwear/women/nkd/tops/tee/slight-cropped/chocolate/04.webp;images/brands/ryderwear/women/nkd/tops/tee/slight-cropped/chocolate/05.webp;images/brands/ryderwear/women/nkd/tops/tee/slight-cropped/chocolate/06.webp,images/brands/ryderwear/women/nkd/tops/tee/slight-cropped/chocolate/01.webp,images/brands/ryderwear/women/nkd/tops/tee/slight-cropped/chocolate/01.webp;images/brands/ryderwear/women/nkd/tops/tee/slight-cropped/chocolate/02.webp;images/brands/ryderwear/women/nkd/tops/tee/slight-cropped/chocolate/03.webp;images/brands/ryderwear/women/nkd/tops/tee/slight-cropped/chocolate/04.webp;images/brands/ryderwear/women/nkd/tops/tee/slight-cropped/chocolate/05.webp;images/brands/ryderwear/women/nkd/tops/tee/slight-cropped/chocolate/06.webp,,,,ready_for_hero_field_update,derived chosen_image/thumbnails_json from current images; leave hero_image/is_active/featured unchanged
ryderwear_female_nkd_bodysuit_underwire_keyhole_cross_over_back_scrunch,,0,images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla/01.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla/02.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla/03.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla/04.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla/05.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla/06.webp,images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla/01.webp,images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla/01.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla/02.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla/03.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla/04.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla/05.webp;images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla/06.webp,,,,ready_for_hero_field_update,derived chosen_image/thumbnails_json from current images; leave hero_image/is_active/featured unchanged
ryderwear_female_lift_2_0_leggings_foldover_ribbed_high_waisted,,0,images/brands/ryderwear/women/non-nkd/bottoms/leggings/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/berry/01.webp;images/brands/ryderwear/women/non-nkd/bottoms/leggings/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/berry/02.webp;images/brands/ryderwear/women/non-nkd/bottoms/leggings/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/berry/03.webp;images/brands/ryderwear/women/non-nkd/bottoms/leggings/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/berry/04.webp,images/brands/ryderwear/women/non-nkd/bottoms/leggings/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/berry/01.webp,images/brands/ryderwear/women/non-nkd/bottoms/leggings/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/berry/01.webp;images/brands/ryderwear/women/non-nkd/bottoms/leggings/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/berry/02.webp;images/brands/ryderwear/women/non-nkd/bottoms/leggings/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/berry/03.webp;images/brands/ryderwear/women/non-nkd/bottoms/leggings/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/berry/04.webp,,,,ready_for_hero_field_update,derived chosen_image/thumbnails_json from current images; leave hero_image/is_active/featured unchanged
ryderwear_female_lift_2_0_shorts_foldover_ribbed_high_waisted,,0,images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/apple-green/01.webp;images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/apple-green/02.webp;images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/apple-green/03.webp;images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/apple-green/04.webp;images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/apple-green/05.webp,images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/apple-green/01.webp,images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/apple-green/01.webp;images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/apple-green/02.webp;images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/apple-green/03.webp;images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/apple-green/04.webp;images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/apple-green/05.webp,,,,ready_for_hero_field_update,derived chosen_image/thumbnails_json from current images; leave hero_image/is_active/featured unchanged
