model_id,itemName,collection,subCategory,queue_status,mapping_status,mapping_confidence,source_terminal_folder,source_image_files,source_file_count,proposed_project_image_path,destination_file_count,copy_plan_status,copy_notes
ryderwear_female_sculpt_sports_bra_rib_waistband_low_support,Sculpt Seamless Halter Sports Bra,Sculpt,Sports_Bra,recoverable_review,likely_source_family_match,medium,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Cut/Low_Support/__Collection/Sculpt/Halter_Bra/Azure,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/cut/low-support/--collection/sculpt/halter-bra/azure,6,excluded_duplicate_destination_collision,Excluded because one or more destination file paths collide with a different model_id.
ryderwear_female_sculpt_shorts_foldover_ribbed_high_waisted_scrunch,Sculpt Seamless High-Waisted Shorts,Sculpt,Shorts,recoverable_review,likely_source_family_match,medium,Women/Non-NKD/Bottoms/Shorts/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Sculpt/Azure,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/bottoms/shorts/rise/high-waisted/scrunch/minimal/seamless/--collection/sculpt/azure,6,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_sculpt_leggings_foldover_ribbed_high_waisted_scrunch,Sculpt Seamless High-Waisted Leggings,Sculpt,Leggings,recoverable_review,likely_source_family_match,medium,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Sculpt/Azure,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/bottoms/leggings/rise/high-waisted/scrunch/minimal/seamless/--collection/sculpt/azure,6,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_stonewash_sports_bra_rib_waistband_v_neck_racerback_light_support,Stonewash Seamless Sports Bra,Stonewash,Sports_Bra,later_migration,out_of_scope_for_batch_2,low,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Cut/Low_Support/__Collection/Sculpt/Halter_Bra/Azure,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/cut/low-support/--collection/sculpt/halter-bra/azure,6,excluded_duplicate_destination_collision,Excluded because one or more destination file paths collide with a different model_id.
ryderwear_female_stonewash_leggings_foldover_ribbed_high_waisted_scrunch_invisible,Stonewash Seamless High-Waisted Scrunch Leggings,Stonewash,Leggings,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Bottoms/Leggings/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/Marl/Berry,01.png | 02.png | 03.png | 04.png | 05.png,5,images/brands/ryderwear/women/non-nkd/bottoms/leggings/fabric/ultra-soft/seamless/scrunch/invisible/--collection/contour/high-waisted/marl/berry,5,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_stonewash_shorts_foldover_ribbed_high_waisted_scrunch_invisible,Stonewash Seamless High-Waisted Scrunch Shorts,Stonewash,Shorts,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Bottoms/Shorts/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/Marl/Black,01.png | 02.png | 03.png | 04.png | 05.png | 06.png,6,images/brands/ryderwear/women/non-nkd/bottoms/shorts/fabric/ultra-soft/seamless/scrunch/invisible/--collection/contour/high-waisted/marl/black,6,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_empower_sports_bra_leopard_print_scoop_neck_racerback_wide_strap_back_cutout_medium_support,Empower Sports Bra — Wide Strap Back Cut-Out,Empower,Sports_Bra,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Tops/Sports_Bra/Cut/Medium_Support/Seamless/Fabric/Ultra_Soft/__Collection/Contour/Marl/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/medium-support/seamless/fabric/ultra-soft/--collection/contour/marl/black,5,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_empower_sports_bra_leopard_print_cross_over_scoop_neck_cross_over_back_light_support,Empower Sports Bra Crop — Cross-Over Straps,Empower,Sports_Bra,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Tops/Sports_Bra/Cut/Scoop_Neck/White,01.webp | 02.webp | 03.webp | 04.webp,4,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/scoop-neck/white,4,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_empower_shorts_leopard_print_foldover_ribbed_high_waisted,Empower High-Waisted Shorts,Empower,Shorts,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Bottoms/Shorts/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Legacy/Empower/Leopard/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/non-nkd/bottoms/shorts/rise/high-waisted/scrunch/minimal/seamless/--collection/legacy/empower/leopard/black,5,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_empower_leggings_leopard_print_foldover_ribbed_high_waisted,Empower High-Waisted Leggings,Empower,Leggings,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Legacy/Empower/Leopard/Black,01.png | 02.png | 03.png | 04.png | 05.png,5,images/brands/ryderwear/women/non-nkd/bottoms/leggings/rise/high-waisted/scrunch/minimal/seamless/--collection/legacy/empower/leopard/black,5,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_honeycomb_sports_bra_scoop_neck_cross_over_back_medium_support,Honeycomb Seamless Sports Bra,Honeycomb,Sports_Bra,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Tops/Sports_Bra/Cut/Medium_Support/Seamless/Fabric/Ultra_Soft/__Collection/Contour/Marl/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/medium-support/seamless/fabric/ultra-soft/--collection/contour/marl/black,5,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_honeycomb_leggings_foldover_high_waisted_full_length_scrunch,Honeycomb Seamless High-Waisted Scrunch Leggings,Honeycomb,Leggings,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Legacy/Honeycomb/Black,01.png | 02.png | 03.png | 04.png | 05.png | 06.png,6,images/brands/ryderwear/women/non-nkd/bottoms/leggings/rise/high-waisted/scrunch/minimal/seamless/--collection/legacy/honeycomb/black,6,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_honeycomb_shorts_foldover_high_waisted_scrunch,Honeycomb Seamless High-Waisted Scrunch Shorts,Honeycomb,Shorts,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Bottoms/Shorts/Rise/High_Waisted/Scrunch/Seamless/__Collection/Legacy/Honeycomb/Black,01.png | 02.png | 03.png | 04.png | 05.png | 06.png,6,images/brands/ryderwear/women/non-nkd/bottoms/shorts/rise/high-waisted/scrunch/seamless/--collection/legacy/honeycomb/black,6,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_icon_sports_bra_v_neck_halter_centre_spine_low_support,Icon V-Neck Sports Bra,Icon,Sports_Bra,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Cut/Low_Support/__Collection/Sculpt/Halter_Bra/Azure,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/cut/low-support/--collection/sculpt/halter-bra/azure,6,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_icon_sports_bra_elastic_underbust_band_scoop_neck_multi_cross_over_back_straps_medium_support,Icon Scoop Neck Sports Bra,Icon,Sports_Bra,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Tops/Sports_Bra/Cut/Medium_Support/Seamless/Fabric/Ultra_Soft/__Collection/Contour/Marl/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/medium-support/seamless/fabric/ultra-soft/--collection/contour/marl/black,5,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_icon_leggings_cross_over_high_waisted_full_length_scrunch,Icon Cross-Over Scrunch Leggings,Icon,Leggings,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Bottoms/Leggings/Construction/Scrunch/Cross_Over/__Collection/Icon/Marl/Fern,01.png | 02.png | 03.png | 04.png,4,images/brands/ryderwear/women/non-nkd/bottoms/leggings/construction/scrunch/cross-over/--collection/icon/marl/fern,4,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_icon_shorts_cross_over_high_waisted_scrunch,Icon Cross-Over Scrunch Shorts,Icon,Shorts,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Bottoms/Shorts/Construction/Scrunch/Cross_Over/__Collection/Icon/Marl/Black,01.png | 02.png | 03.png | 04.png | 05.png | 06.png | 06.webp,7,images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/scrunch/cross-over/--collection/icon/marl/black,7,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_ultra_tank_top_mesh,Ultra Mesh Tank,Ultra,Tank_Top,source_needed,needs_manual_mapping,low,Women/Non-NKD/Tops/Tank/Mesh/__Collection/Legacy/Ultra/Tan,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/non-nkd/tops/tank/mesh/--collection/legacy/ultra/tan,5,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_ultra_tank_top_scoop,Ultra Scoop Tank,Ultra,Tank_Top,source_needed,needs_manual_mapping,low,Women/Non-NKD/Tops/Tank/Scoop/__Collection/Legacy/Ultra/Tan,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/non-nkd/tops/tank/scoop/--collection/legacy/ultra/tan,5,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_ultra_t_shirt_scoop,Ultra Scoop T-Shirt,Ultra,T_Shirt,recoverable_review,needs_manual_mapping,low,Women/Non-NKD/Tops/Tee/Slight_Crop/__Collection/Legacy/Ultra/Tan,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/non-nkd/tops/tee/slight-crop/--collection/legacy/ultra/tan,5,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_replay_sports_bra_cut-out,Replay Cut-Out Sports Bra,Replay,Sports_Bra,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Tops/Sports_Bra/Cut/Legacy/Keyhole_Cut_Out/Training/__Collection/Replay/Black,01.webp | 02.jpg | 03.jpg | 04.jpg | 05.jpg,5,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/legacy/keyhole-cut-out/training/--collection/replay/black,5,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_replay_leggings_high-waisted,Replay High-Waisted Leggings,Replay,Leggings,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/__Collection/Replay/Coral,01.jpg | 02.webp | 03.jpg | 04.webp | 05.jpg,5,images/brands/ryderwear/women/non-nkd/bottoms/leggings/rise/high-waisted/--collection/replay/coral,5,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_momentum_sports_bra_twist,Momentum Twist Sports Bra,Momentum,Sports_Bra,later_migration,out_of_scope_for_batch_2,low,Women/Non-NKD/Tops/Sports_Bra/Cut/Twist/__Collection/Activate/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/twist/--collection/activate/black,5,excluded_duplicate_destination_collision,Excluded because one or more destination file paths collide with a different model_id.
ryderwear_female_persist_shorts_training,Persist Training Shorts,Persist,Shorts,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Bottoms/Shorts/Construction/Training/Legacy/__Collection/Persist/Dusty_Green,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/training/legacy/--collection/persist/dusty-green,6,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_logo lux_sports_bra_seamless,Logo Lux Seamless Sports Bra,Logo Lux,Sports_Bra,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Tops/Sports_Bra/Fabric/Ribbed/Seamless/__Collection/Logo_Lux/Fern_Green,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/non-nkd/tops/sports-bra/fabric/ribbed/seamless/--collection/logo-lux/fern-green,5,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_staples_shorts_seamless,Staples Seamless Shorts,Staples,Shorts,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Bottoms/Shorts/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Staples/Marl/Blue,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/non-nkd/bottoms/shorts/rise/high-waisted/scrunch/minimal/seamless/--collection/staples/marl/blue,5,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_activate_sports_bra_twist,Activate Sports Bra,Activate,Sports_Bra,recoverable_review,multiple_possible_source_families,low,Women/Non-NKD/Tops/Sports_Bra/Cut/Twist/__Collection/Activate/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/twist/--collection/activate/black,5,excluded_duplicate_destination_collision,Excluded because one or more destination file paths collide with a different model_id.
ryderwear_female_terry towelling_sports_bra_cropped,Terry Towelling Cropped Sports Bra,Terry Towelling,Sports_Bra,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Tops/Sports_Bra/Cut/Legacy/Terry_Towelling/Cobalt_Blue,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/legacy/terry-towelling/cobalt-blue,6,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_slouchy_off_shoulder_top,Slouchy Off Shoulder Top,NULL,Slouchy_Off_Shoulder_Top,source_needed,likely_source_family_match,low-medium,Women/Non-NKD/Tops/Slouchy_Off_Shoulder_Top/Espresso,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/non-nkd/tops/slouchy-off-shoulder-top/espresso,5,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_unisex_gym_bag_accessories,Gym Bag,NULL,Gym_Bag,later_migration,out_of_scope_for_batch_2,low,Women/Accessories/Pilates_Gym_Bag/Vanilla,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp | 07.webp | 08.webp,8,images/brands/ryderwear/women/accessories/pilates-gym-bag/vanilla,8,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
